Rifle Bullet 108.0 gr
﻿#,Speed (FPS),Δ Avg (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,2936.9,-2.8,2068.1,317.2,17:41:38,,,
2,2927.8,-11.8,2055.3,316.2,17:42:02,,,
3,2950.8,11.2,2087.8,318.7,17:43:47,,,
4,2958.2,18.5,2098.1,319.5,18:28:00,,,
5,2932.8,-6.8,2062.4,316.7,18:28:22,,,
6,2953.0,13.3,2090.8,318.9,18:28:54,,,
7,2922.7,-16.9,2048.2,315.7,18:29:54,,,
8,2921.8,-17.9,2046.9,315.6,18:30:07,,,
9,2950.1,10.5,2086.8,318.6,18:30:30,,,
10,2946.6,6.9,2081.7,318.2,18:30:40,,,
11,2935.4,-4.3,2066.0,317.0,18:30:56,,,
-,,,,,,
AVERAGE SPEED,2939.7,,,,,
AVERAGE POWER FACTOR,317.5,,,,,
STD DEV,12.1,,,,,
SPREAD,36.4,,,,,
Projectile Weight (GRAINS),"108.0",,,,,
AVG KINETIC ENERGY,2072.0,,,,,
Session Note,,,,,,
-,,,,,,
Date,"JUNE 01, 2025 17:38",,,,,
All shots included in the calculations,,,,,,
